Location	InfectedPeople
2	12
4	91
6	479
8	1,925
10	5,156
12	7,206
14	7,227
16	6,586
18	5,829
20	5,158
22	4,548
24	3,978
26	3,465
28	3,027
30	2,625
32	2,287
34	2,019
36	1,751
38	1,519
40	1,315
42	1,152
44	1,000
46	878
48	779
50	680
52	592
54	508
56	447
58	384
60	326
62	282
64	248
66	206
68	172
70	148
72	132
74	118
76	104
78	89
80	83
82	79
84	70
86	64
88	55
90	47
92	43
94	37
96	34
98	28
100	25
102	20
104	17
106	16
108	15
110	13
112	11
114	10
116	8
118	8
120	7
122	7
124	7
126	6
128	6
130	5
132	5
134	5
136	5
138	5
140	5
142	4
144	4
146	4
148	4
150	4
152	2
154	1
156	1
158	1
160	1
162	1
164	1
166	1
168	1
170	1
172	1
174	1
176	1
178	1
180	1
182	1
184	1
186	1
188	1
190	0
192	0
194	0
196	0
198	0
200	0
